company reports,"('000net', -4.585065678564867)","('earns', -4.63456788085799)","('000share', -4.653905067628765)","('qtr', -4.7066438109584166)","('otc', -5.2184004777616835)","('net', -5.32711429113291)","('nyse', -5.4910152866278805)","('quarter', -5.5274639293378405)","('share', -5.718548557812565)","('corp', -5.744546319796312)"
beer,"('beer', -7.481503801846914)","('brewing', -8.276740729896263)","('brewery', -8.538226162799246)","('beers', -8.615622990707838)","('anheuser', -8.649946531041685)","('coors', -8.765389838951648)","('busch', -8.781680361468226)","('brewer', -8.89558055354389)","('advertising', -8.92371572866154)","('alcohol', -8.979886101581194)"
consumer behavior,"('consumer', -7.612907402600908)","('consumers', -7.754473005369937)","('spending', -8.002731176382138)","('economy', -8.126880490484904)","('sales', -8.268475560509529)","('rate', -8.332053996799162)","('growth', -8.380200980612685)","('market', -8.458149403443823)","('credit', -8.480944368383584)","('prices', -8.523805205875206)"
jury system,"('jurors', -7.42186521728044)","('jury', -7.427228443755864)","('trial', -7.91168194581962)","('juror', -8.050636780199634)","('judge', -8.061834190105678)","('court', -8.206087969960503)","('lawyers', -8.271115525001033)","('juries', -8.555694975767556)","('defense', -8.655421491586067)","('prosecutors', -8.724651694027118)"
casinos,"('casino', -6.65947502417987)","('casinos', -7.126066717838573)","('gambling', -7.380283909205225)","('atlantic', -7.753850452282924)","('gaming', -7.990214600097961)","('trump', -8.013074408086219)","('hotel', -8.188875097204843)","('vegas', -8.235103805017243)","('las', -8.28055631805362)","('tribe', -8.351453322300571)"
child care,"('care', -7.349800445946911)","('child', -7.502214427031219)","('parents', -8.076308653618643)","('families', -8.469783229215947)","('centers', -8.514436903789418)","('baby', -8.565375648098474)","('mothers', -8.567310801649613)","('nanny', -8.728101430752288)","('welfare', -8.788702700817133)","('women', -8.85037239584043)"
referendums,"('referendum', -7.019850794263124)","('voters', -7.225177217345404)","('vote', -7.498907236669086)","('ballot', -7.511779048194187)","('election', -8.067953956426823)","('measure', -8.085234607548113)","('campaign', -8.219834039043048)","('proposal', -8.296812720016584)","('initiative', -8.318710776465021)","('issue', -8.35039096058791)"
soccer,"('soccer', -6.122330759244905)","('cup', -6.662316665638495)","('team', -6.85094680051889)","('game', -7.0740861644863715)","('metrostars', -7.171276776513559)","('league', -7.287530818039459)","('players', -7.306902510673949)","('coach', -7.418482762195016)","('goal', -7.456220393027898)","('games', -7.462898807410431)"
book trade,"('book', -7.227322554245648)","('books', -7.270282795026481)","('publishers', -7.563508959206207)","('publishing', -7.628656036545525)","('publisher', -7.892157234422252)","('authors', -8.06755428687868)","('bookstores', -8.157491126388969)","('author', -8.215754511269672)","('published', -8.249276537522547)","('sales', -8.27911819329376)"
birds,"('birds', -6.964096189673826)","('bird', -7.305913665490124)","('species', -7.822314255127846)","('wildlife', -7.981744255994563)","('turkey', -8.2236274091002)","('geese', -8.532257314390113)","('nesting', -8.575409768495437)","('nest', -8.619325936153203)","('fish', -8.629635848648011)","('endangered', -8.642157788342487)"
endangered and extinct species,"('species', -7.2196387332845315)","('endangered', -7.500251491786217)","('wildlife', -7.7625746335037595)","('fish', -8.159209241972999)","('conservation', -8.23554014428863)","('habitat', -8.307813357561246)","('scientists', -8.329787237674273)","('animals', -8.349930768943992)","('birds', -8.371505568676728)","('extinction', -8.40464908380902)"
transplants,"('transplant', -7.370827169994376)","('transplants', -7.837884453031016)","('organ', -7.9510452681252906)","('organs', -8.003948341094816)","('donor', -8.091796873292338)","('liver', -8.253584146435465)","('patients', -8.331247799606075)","('dr', -8.44374091606197)","('kidney', -8.57789627902318)","('medical', -8.588448068614461)"
beaches,"('beach', -7.288146236198395)","('beaches', -7.505915324103853)","('sand', -8.105898930943683)","('island', -8.213347811077028)","('ocean', -8.24894428340555)","('shore', -8.309956415397693)","('water', -8.468097396650961)","('summer', -8.586318223246229)","('jersey', -8.592219665863283)","('boardwalk', -8.788035834436428)"
bars,"('bar', -7.655121240337897)","('bars', -8.071795415164651)","('smoking', -8.605231665572488)","('drink', -8.754150617384997)","('restaurant', -8.850595492062835)","('restaurants', -8.887302962205744)","('beer', -8.965525099185877)","('liquor', -8.985062620891881)","('bartender', -9.022204204949539)","('ban', -9.030148312803865)"
jewels and jewelry,"('jewelry', -7.542921207724154)","('diamond', -8.67550634483802)","('gold', -8.723325805903674)","('diamonds', -8.830891791006184)","('earrings', -8.870637154640693)","('store', -8.922131294934365)","('necklace', -9.037770817426496)","('bracelets', -9.05487909136393)","('jewelers', -9.123803247317863)","('necklaces', -9.136356846447296)"
air pollution,"('emissions', -6.914105673717564)","('pollution', -7.001479574834414)","('environmental', -7.025699245236546)","('air', -7.152165013373649)","('carbon', -7.575161367023331)","('clean', -7.576598517200786)","('dioxide', -7.604214915713052)","('ozone', -7.67943038326091)","('warming', -7.783950024613574)","('agency', -7.86477770121727)"
"indians, american","('indian', -6.874311867395559)","('indians', -7.210743981449482)","('tribe', -7.35977126926366)","('tribal', -7.623642619392809)","('tribes', -7.6453450137404575)","('reservation', -7.764813214597243)","('casino', -7.931427702621545)","('land', -8.106729762003884)","('native', -8.166562204335332)","('gambling', -8.373366530662432)"
medicaid,"('medicaid', -6.753275273322578)","('health', -7.525687711342139)","('care', -7.617922939937002)","('medicare', -8.146526175350473)","('patients', -8.175405466750604)","('budget', -8.21464389728335)","('hospitals', -8.242387602225367)","('poor', -8.288982508390866)","('insurance', -8.3176834722969)","('services', -8.333377280089211)"
"age, chronological","('age', -7.502816070228233)","('older', -7.933076771619139)","('younger', -8.33093760373497)","('women', -8.331792703333587)","('dr', -8.460035901738042)","('aging', -8.498769704124335)","('study', -8.599055154763434)","('health', -8.719785143804495)","('men', -8.753083770019177)","('40', -8.845946716700237)"
wines,"('wine', -6.299463681142226)","('wines', -6.5904246056554765)","('vineyards', -7.326277125285905)","('winery', -7.33594198364546)","('grapes', -7.3640688660086635)","('cabernet', -7.47672623448253)","('grape', -7.517532114066126)","('sauvignon', -7.600040296964456)","('bottle', -7.605084824286109)","('chardonnay', -7.620312450779844)"
freedom of the press,"('journalists', -8.265794663977857)","('press', -8.325435595530834)","('newspaper', -8.73338380546217)","('freedom', -8.753173079100504)","('media', -8.900865432908477)","('court', -8.905726941953446)","('newspapers', -9.05765660969347)","('journalist', -9.063453563445853)","('reporters', -9.07060536287738)","('editor', -9.145238113269812)"
breast,"('breast', -6.874730400877274)","('cancer', -7.114183092189264)","('women', -7.675774545768657)","('implants', -8.205334458388553)","('dr', -8.22013472402677)","('study', -8.377444080260913)","('disease', -8.392110619600404)","('mammograms', -8.429194858061512)","('health', -8.4777087329754)","('mammography', -8.512633914491106)"
savings and loan associations,"('savings', -6.989249421675081)","('loan', -7.187826753950461)","('institutions', -7.687079305127927)","('regulators', -7.922243567099492)","('billion', -7.997919220441669)","('bailout', -8.013071492523444)","('bank', -8.074531325286895)","('loans', -8.11470362416663)","('banking', -8.176705608550456)","('industry', -8.219574790308759)"
savings,"('savings', -6.800354935547484)","('loan', -7.189683606152685)","('institutions', -7.656423482357972)","('billion', -7.899922564508599)","('bank', -7.912652427804581)","('regulators', -7.923466992907075)","('bailout', -8.031163607010843)","('loans', -8.082776189669401)","('banking', -8.119443173221523)","('thrift', -8.19804523035262)"
geographic profiles,"('town', -7.865627453735069)","('residents', -7.967315777342449)","('houses', -8.093391375574974)","('area', -8.157303306405252)","('built', -8.265265946146744)","('bedroom', -8.269561926347063)","('homes', -8.309455327280997)","('local', -8.3178101330398)","('community', -8.31864639981469)","('park', -8.322813837039119)"
geography,"('town', -7.867666023125551)","('residents', -7.969311633704659)","('houses', -8.093602873671973)","('area', -8.150173663242072)","('built', -8.263216854952857)","('bedroom', -8.272252349234018)","('homes', -8.311104459481315)","('local', -8.317213388543689)","('community', -8.318421148047253)","('park', -8.31894591003019)"
ferries,"('ferry', -7.3063415293813945)","('ferries', -8.285822990969734)","('island', -8.539364779223346)","('passengers', -8.639736504905116)","('staten', -8.674524341721536)","('terminal', -8.813413467646914)","('boat', -8.849382966134238)","('waterway', -8.958069359525501)","('manhattan', -9.023016966997211)","('transportation', -9.036005202832959)"
running,"('marathon', -6.913114107919843)","('runners', -7.387231372405454)","('race', -7.579710826684969)","('running', -7.928113061164795)","('mile', -8.05925726484332)","('runner', -8.079155431217202)","('finish', -8.327395108791489)","('miles', -8.340199886298079)","('seconds', -8.381916552609148)","('olympic', -8.428668157503854)"
marathon running,"('marathon', -6.983867710694646)","('runners', -7.752282834883758)","('race', -7.902789790086783)","('running', -8.41760542291516)","('marathons', -8.527434955373083)","('finish', -8.568986145259057)","('mile', -8.572899724194777)","('runner', -8.57560969873645)","('miles', -8.680375424340165)","('olympic', -8.71521057218871)"
volunteers,"('volunteers', -7.540438060039763)","('volunteer', -7.730423743280054)","('community', -8.670395039270211)","('students', -8.91392152525126)","('volunteering', -9.014180919631583)","('volunteerism', -9.146400715054918)","('corps', -9.201893929771362)","('hours', -9.209975684524256)","('programs', -9.22207934289527)","('schools', -9.286815796398717)"
supermarkets,"('supermarket', -7.806306716175889)","('supermarkets', -8.25839829524769)","('stores', -8.262048241674549)","('store', -8.280250458323914)","('food', -8.520909105886457)","('chain', -8.662765505234308)","('grocery', -8.687244237599435)","('pathmark', -8.896234542459798)","('chains', -9.080390634058547)","('foods', -9.083498688513297)"
shopping centers,"('mall', -7.626919989509408)","('shopping', -7.868894437570322)","('malls', -8.251247763749106)","('stores', -8.402005953741677)","('retail', -8.497972525920467)","('square', -8.56617182417314)","('store', -8.590455341008091)","('shoppers', -8.890660572733687)","('centers', -8.928233197387351)","('project', -8.930258617649159)"
insects,"('mosquitoes', -8.12966487511111)","('insects', -8.169134148494695)","('mosquito', -8.171677237447678)","('dr', -8.2672332725506)","('insect', -8.298271437195801)","('species', -8.330595324356768)","('virus', -8.382626977228147)","('nile', -8.474920514496553)","('spraying', -8.496473817458924)","('disease', -8.526757348506825)"
city councils,"('council', -7.054707953333637)","('mayor', -7.694890684168903)","('councilman', -8.086084145184227)","('district', -8.146256351433387)","('election', -8.16755306782004)","('vallone', -8.310314405800733)","('speaker', -8.338712975572097)","('candidates', -8.364718847300875)","('democratic', -8.463325508631584)","('campaign', -8.466075804930512)"
local government,"('council', -6.977754205814973)","('mayor', -7.367993951451513)","('charter', -7.921162026634398)","('election', -7.963075137819643)","('district', -8.091505885409635)","('councilman', -8.093992352485753)","('candidates', -8.212715182068706)","('vallone', -8.218146757861842)","('voters', -8.238445815142203)","('speaker', -8.248739458333986)"
olympic games,"('olympic', -5.902318043712863)","('olympics', -6.146738509710864)","('games', -6.657500562599819)","('medal', -6.74469692741136)","('team', -6.967995927890649)","('gold', -6.9924014636931915)","('athletes', -7.042603104350583)","('sports', -7.195418968732605)","('committee', -7.345509004469691)","('medals', -7.483197412840872)"
third world and developing countries,"('countries', -7.280114918394918)","('nations', -7.650530348406703)","('developing', -7.708802449940312)","('poor', -8.143204868708782)","('bank', -8.223083293079828)","('global', -8.288866462045066)","('economic', -8.337843298536184)","('billion', -8.34655185172976)","('development', -8.397667571976736)","('africa', -8.406926732081374)"
retirement,"('pension', -6.949204893506316)","('retirement', -7.040758368203132)","('benefits', -7.796653613322133)","('workers', -7.838779167390849)","('pensions', -7.839608889607527)","('employees', -7.907663470665567)","('plan', -7.911430065412687)","('plans', -7.918180659502257)","('funds', -7.971149180605783)","('fund', -7.984485119418568)"
stations and terminals (passenger),"('station', -7.390554981942715)","('terminal', -7.768294470413517)","('subway', -7.917949134308859)","('transit', -7.945685678390994)","('train', -8.022719951291048)","('authority', -8.239758251452407)","('trains', -8.29945562269524)","('grand', -8.371372315020196)","('transportation', -8.384164527598625)","('rail', -8.454954202745698)"
torture,"('torture', -7.493284682582995)","('prisoners', -8.273648462530764)","('rights', -8.331412861489778)","('tortured', -8.43057711453673)","('human', -8.443757021961414)","('military', -8.462360207027618)","('police', -8.500601850972602)","('detainees', -8.59822356583355)","('officers', -8.704754782036922)","('prison', -8.74749374157785)"
beverages,"('wine', -6.656431187615741)","('wines', -7.037903531754897)","('bottle', -7.641914113115691)","('drink', -7.644469619473807)","('alcohol', -7.761904064202049)","('grapes', -7.770923934730254)","('beer', -7.775775539625392)","('vineyards', -7.778607918031174)","('winery', -7.791419036722449)","('cabernet', -7.887055553337173)"
radiation,"('radiation', -7.536381625602571)","('radioactive', -8.01390586755447)","('nuclear', -8.078755706828495)","('laser', -8.63064817504004)","('cancer', -8.654122641278397)","('dr', -8.673301729814701)","('plant', -8.800518734518382)","('energy', -8.80966502878503)","('reactor', -8.943980083743478)","('health', -9.013478145700773)"
food contamination and poisoning,"('food', -7.650093516935435)","('disease', -8.016734079891455)","('cow', -8.07319968192925)","('meat', -8.104915719080825)","('beef', -8.158164852131797)","('agriculture', -8.180328781377291)","('mad', -8.356433154335654)","('health', -8.3716898640124)","('bacteria', -8.40728739883927)","('contaminated', -8.49576395827972)"
military personnel,"('military', -7.679521715292474)","('army', -8.193790670191948)","('soldiers', -8.386855775623332)","('pentagon', -8.480375014083169)","('troops', -8.576894921755406)","('forces', -8.58806262168926)","('navy', -8.665992517901353)","('armed', -8.724775160053545)","('defense', -8.81139956351335)","('gulf', -8.854466339642121)"
embezzlement,"('charges', -8.348092267554122)","('embezzlement', -8.436549850841873)","('prosecutors', -8.596548663361489)","('guilty', -8.646257655524245)","('investigation', -8.709184517435185)","('attorney', -8.712836496233557)","('district', -8.716916344240545)","('court', -8.770938614289415)","('charged', -8.810652958432257)","('embezzling', -8.839158431758527)"
vetoes (us),"('veto', -7.3743353923544115)","('override', -8.155588451383341)","('senate', -8.2218382269606)","('vetoed', -8.300935612428452)","('republican', -8.382699003988364)","('legislation', -8.404135542509215)","('congress', -8.413678658246232)","('republicans', -8.465045252390842)","('vote', -8.491917460254669)","('measure', -8.597692659910157)"
flowers and plants,"('plants', -7.285135878020175)","('plant', -7.487145521166186)","('garden', -7.69246067419448)","('flowers', -7.749034605764996)","('flower', -7.828251132673369)","('species', -8.0224345750556)","('leaves', -8.158965104556529)","('soil', -8.214683748146529)","('gardeners', -8.279158160488427)","('grow', -8.353515799606173)"
search and seizure,"('police', -8.252684707356238)","('search', -8.40051247072633)","('court', -8.432949193231114)","('searches', -8.547846968871143)","('drug', -8.766726234019817)","('officers', -8.790289002063185)","('warrant', -8.93631935189433)","('seized', -8.945255206248108)","('judge', -8.987425230713253)","('justice', -9.011873759286376)"
fast food industry,"('mcdonald', -7.894271620449774)","('food', -8.093093562324112)","('fast', -8.320798192773712)","('restaurants', -8.371588041266586)","('burger', -8.48331577436217)","('restaurant', -8.619592170650128)","('chain', -8.821600667281311)","('chicken', -8.992944588649888)","('fries', -9.090277975756301)","('king', -9.194270699025372)"
sexual harassment,"('harassment', -7.096939739773746)","('sexual', -7.124549275653845)","('women', -7.926995382606939)","('court', -8.193977466275744)","('clinton', -8.33005057036765)","('accusations', -8.424098974798776)","('judge', -8.427001787552625)","('jones', -8.43236275124621)","('lawyer', -8.514934510145666)","('sex', -8.54469864454081)"
forests and forestry,"('forest', -7.157653361357799)","('forests', -7.528209325687424)","('acres', -7.81184970494103)","('fires', -7.841055401467183)","('timber', -7.842267181259632)","('logging', -7.963977726238792)","('trees', -8.052450070599882)","('environmental', -8.25551766194502)","('land', -8.336095291750063)","('firefighters', -8.370842240602771)"
affirmative action,"('affirmative', -7.1840563524254915)","('action', -7.728403342714513)","('minority', -8.097817687292734)","('race', -8.21265494831415)","('admissions', -8.291655681872992)","('racial', -8.326283426329594)","('discrimination', -8.352661256644927)","('minorities', -8.368563859162087)","('court', -8.429499691259362)","('black', -8.44505684737646)"
states (us),"('court', -7.881858170839473)","('congress', -7.89071220157663)","('republican', -7.992261899272353)","('health', -8.105395056276784)","('laws', -8.139021670590068)","('bush', -8.174754800466712)","('administration', -8.231785574475015)","('senate', -8.255799217783036)","('governors', -8.256313086886394)","('programs', -8.26220862047095)"
brain,"('brain', -7.364164173463189)","('dr', -8.070071929611698)","('researchers', -8.369817740737576)","('cells', -8.656380850200605)","('study', -8.661770251726411)","('brains', -8.664375387853147)","('patients', -8.765059332721995)","('scientists', -8.89715884365046)","('disease', -8.946078371764223)","('research', -8.97684417467133)"
libraries and librarians,"('library', -6.99410409968115)","('libraries', -7.467606337924694)","('books', -8.17351534886059)","('librarians', -8.287870972220873)","('librarian', -8.476431515236136)","('book', -8.724524047840621)","('branch', -8.946020379803466)","('reading', -8.978682133101016)","('information', -9.076776676465355)","('collection', -9.083043475756181)"
personal finances,"('financial', -8.188219480164996)","('income', -8.5577148873579)","('tax', -8.74701292432325)","('personal', -8.75755784432231)","('pay', -8.95103178945576)","('investment', -8.980846389414667)","('stock', -9.057992287592517)","('funds', -9.064996397067834)","('finances', -9.068022043002044)","('ethics', -9.074882579083697)"
rock music,"('rock', -7.343378035677)","('band', -7.439188468003611)","('songs', -7.5840751494455105)","('music', -7.605451523817997)","('album', -7.613589118641097)","('song', -7.904014097439323)","('guitar', -8.031481042713576)","('pop', -8.051266304054323)","('bands', -8.193011220357747)","('singer', -8.2728269178011)"
election results,"('election', -7.317608202928104)","('vote', -7.544230955532368)","('republican', -7.555008159143954)","('voters', -7.565866415830495)","('democratic', -7.607527982802467)","('votes', -7.6256961391550835)","('elections', -7.652982818373893)","('party', -7.759660466351568)","('campaign', -7.796857578179719)","('democrats', -7.87557824325466)"
blackouts and brownouts (electrical),"('power', -7.686277035865313)","('blackout', -7.7988967502151585)","('electricity', -8.087676201825506)","('utility', -8.549579862741817)","('energy', -8.618911079498881)","('edison', -8.665824452072483)","('blackouts', -8.690072693934223)","('customers', -8.714862457629119)","('grid', -8.747424643417258)","('electric', -8.799203902045123)"
inventions and patents,"('patent', -6.595897407560853)","('patents', -7.1496853728550676)","('patented', -7.862118106521554)","('inventors', -7.976751848222789)","('inventor', -8.09164260791259)","('invention', -8.137462796778914)","('technology', -8.151254952874407)","('companies', -8.31164706052337)","('received', -8.334148517642365)","('device', -8.354923001034862)"
drugs (pharmaceuticals),"('drug', -6.038608598653582)","('drugs', -6.341142612893391)","('patients', -6.737333212291621)","('dr', -6.995036807463164)","('health', -7.046939103533972)","('prescription', -7.131926733994708)","('doctors', -7.192315052011415)","('pharmaceutical', -7.237946505243219)","('companies', -7.339588197408972)","('medical', -7.350837091023688)"
biological and chemical warfare,"('iraq', -6.197314175323684)","('weapons', -6.69130141883498)","('iraqi', -6.849915502510803)","('hussein', -6.906496486559005)","('saddam', -7.071492807990649)","('bush', -7.1270748420534735)","('chemical', -7.148901737289363)","('military', -7.192818311702681)","('nations', -7.231858800103449)","('baghdad', -7.311639360936433)"
pilots,"('pilots', -7.253468588901995)","('airline', -7.873019400493795)","('airlines', -8.014273655035476)","('pilot', -8.03789869301469)","('flight', -8.226523374215425)","('air', -8.40756043702098)","('plane', -8.569298964601213)","('union', -8.607379569024598)","('aviation', -8.680266588908232)","('flying', -8.801261551270276)"
wiretapping and other eavesdropping devices and methods,"('wiretapping', -8.601135158508967)","('surveillance', -8.64099132756908)","('eavesdropping', -8.72345955234141)","('court', -8.765566459815137)","('conversations', -8.82268714026775)","('security', -8.87616530195557)","('intelligence', -8.876493711195433)","('investigation', -8.895099778797167)","('wiretaps', -8.987119925973776)","('telephone', -9.059993961200373)"
copyrights,"('copyright', -7.246247537037041)","('music', -8.039965745275886)","('software', -8.195472581703775)","('internet', -8.237657250381783)","('napster', -8.28957600706305)","('industry', -8.293795503469113)","('infringement', -8.410034797369619)","('digital', -8.427008142837566)","('copyrighted', -8.43470629528681)","('companies', -8.440427587984306)"
stadiums and arenas,"('stadium', -6.7938912232849615)","('team', -7.740260805454247)","('sports', -7.786573481430169)","('yankees', -7.849057400065127)","('arena', -7.935134143675889)","('baseball', -7.935628850326432)","('fans', -8.029147098915871)","('yankee', -8.088864663689193)","('game', -8.127069374923483)","('mayor', -8.146626921772732)"
race,"('race', -6.993220495997362)","('racing', -7.163024536909813)","('horse', -7.675491075352941)","('races', -7.680792579597509)","('mile', -7.916376190139893)","('cup', -7.964688062854341)","('derby', -8.048695045191597)","('belmont', -8.051727621124268)","('tour', -8.07644296355093)","('horses', -8.07667891558265)"
tuition,"('tuition', -7.332145583395212)","('students', -7.850467394504528)","('college', -8.0477247817193)","('education', -8.097641203755725)","('colleges', -8.106546536135095)","('student', -8.434362407627733)","('aid', -8.473150383084068)","('universities', -8.536988303717688)","('schools', -8.695644642491276)","('pay', -8.808070317443699)"
prisoners of war,"('prisoners', -7.434326610764018)","('military', -7.998704679721828)","('iraq', -8.032932959922922)","('detainees', -8.071761484805744)","('guantánamo', -8.081879346053782)","('ghraib', -8.135974448996725)","('prisoner', -8.216708548199541)","('iraqi', -8.252446778012487)","('abu', -8.279373679381422)","('soldiers', -8.349456155448054)"
royal family,"('prince', -8.008889130642977)","('royal', -8.07516149768681)","('princess', -8.230283804477942)","('queen', -8.31182891450716)","('king', -8.642105422158783)","('monarchy', -8.681203034740863)","('palace', -8.690598290586214)","('throne', -8.732919563629752)","('diana', -8.7653572788593)","('wales', -8.969077429824793)"
priests,"('priests', -7.049925381654498)","('church', -7.373828936847004)","('catholic', -7.425280977596003)","('priest', -7.483856270583725)","('abuse', -7.606374587725171)","('bishops', -7.75279858124479)","('bishop', -7.772752480590676)","('sexual', -7.8070239397869425)","('diocese', -7.811126260974151)","('archdiocese', -7.874651869085012)"
kurds,"('kurdish', -7.037892002362946)","('kurds', -7.239650526882006)","('iraq', -7.497938266164186)","('iraqi', -7.580012986051)","('turkey', -7.776311823823295)","('turkish', -7.979723893825816)","('hussein', -8.05028788353927)","('kurdistan', -8.198853755921101)","('saddam', -8.271825492466743)","('baghdad', -8.323775096544654)"
liability for products,"('tobacco', -8.163700969628339)","('lawsuits', -8.393214530882162)","('liability', -8.484840826618342)","('lawyers', -8.527288655783064)","('companies', -8.57053270559172)","('court', -8.586565802939301)","('damages', -8.643960339631818)","('plaintiffs', -8.646225236530565)","('settlement', -8.67509090333096)","('industry', -8.761059981171872)"
academy awards (oscars),"('oscar', -7.8356726077326035)","('academy', -7.983941690075328)","('awards', -8.208888843409628)","('film', -8.271532597831463)","('oscars', -8.356588851969917)","('films', -8.566215150422211)","('award', -8.607910866489455)","('hollywood', -8.632533209335863)","('movie', -8.683183560250901)","('picture', -8.75643852372301)"
recession and depression,"('recession', -7.172468960435945)","('economy', -7.350346793472346)","('economic', -7.625794985934083)","('growth', -7.879736977821444)","('rate', -7.963304797249576)","('economists', -7.975841567243076)","('rates', -8.022311211619513)","('inflation', -8.049240845831582)","('spending', -8.151614222856686)","('market', -8.156038445750895)"
world series,"('series', -7.093399983750254)","('yankees', -7.265708455180637)","('game', -7.277827630697959)","('baseball', -7.59724379345167)","('games', -7.720761220789567)","('inning', -7.807279098290716)","('team', -7.823827694847347)","('league', -7.883416758901407)","('season', -7.933216141922062)","('yankee', -8.093663639856462)"
gun control,"('gun', -6.838968870017216)","('guns', -7.32487335854123)","('rifle', -7.8017784160849875)","('firearms', -7.838085492471298)","('weapons', -7.841750793367056)","('control', -7.9126076292915135)","('handgun', -8.120698930273528)","('handguns', -8.141559236724014)","('ban', -8.146445297290043)","('assault', -8.167443620507711)"
figure skating,"('skating', -7.467711220167571)","('olympic', -8.08428338804173)","('figure', -8.194136029439573)","('olympics', -8.249183998329917)","('kwan', -8.2534584707611)","('skaters', -8.347530466658014)","('championships', -8.37833104476062)","('medal', -8.407113936159114)","('skater', -8.447289591948042)","('ice', -8.477065194317865)"
hurricanes and tropical storms,"('hurricane', -6.5566981706028304)","('storm', -7.113970744153798)","('katrina', -7.268875473486894)","('orleans', -7.417836638262478)","('louisiana', -8.002151872965088)","('damage', -8.019741329596776)","('emergency', -8.045176215885146)","('hurricanes', -8.048660693522264)","('disaster', -8.058915537718196)","('coast', -8.10286861141571)"
suburbs,"('suburbs', -8.096994157673372)","('suburban', -8.215994977790315)","('county', -8.84187890504312)","('urban', -9.062285053186613)","('housing', -9.134724469076863)","('jersey', -9.140227892626726)","('cities', -9.146522797408934)","('schools', -9.21821544582102)","('communities', -9.22451850409485)","('residents', -9.225819506028364)"
home furnishings,"('furniture', -8.224958946838324)","('design', -8.314253338938329)","('designer', -8.680489287773266)","('room', -8.704091940939996)","('furnishings', -8.72167166048659)","('currents', -8.723199046901504)","('store', -8.758318361138869)","('com', -8.79186664926317)","('table', -8.859112880058191)","('designed', -8.931035105568483)"
classical music,"('music', -6.869894789178834)","('orchestra', -7.265355610467912)","('symphony', -7.5496743524072345)","('concert', -7.6295336780984755)","('piano', -7.717264214130506)","('hall', -7.740344860175393)","('classical', -7.796464086577016)","('composer', -7.832941083527013)","('works', -7.9334677361872075)","('beethoven', -7.9375668430353326)"
swimming,"('swimming', -7.532509298781382)","('pool', -7.924873591390705)","('swim', -8.055973462596695)","('swimmers', -8.140913751023778)","('meter', -8.24631492368133)","('freestyle', -8.25984531752904)","('swimmer', -8.301928901037966)","('olympic', -8.34967493542936)","('pools', -8.633351716253332)","('water', -8.670085595624741)"
asylum (political),"('asylum', -7.155883658932027)","('immigration', -7.874521574192288)","('refugees', -8.105228857702363)","('seekers', -8.543293527421262)","('refugee', -8.595942686018484)","('persecution', -8.65151884794681)","('naturalization', -8.813091952719727)","('haitians', -8.958356126045006)","('immigrants', -8.996177057791485)","('detention', -9.03257610841132)"
attorneys general,"('attorney', -7.5856156002828286)","('spitzer', -8.318492246327978)","('justice', -8.739080964821671)","('republican', -8.742299424806019)","('cuomo', -8.770818603455044)","('campaign', -8.771727213974348)","('vacco', -8.788776582131721)","('ashcroft', -8.805571322323729)","('democratic', -8.818861778074382)","('court', -8.903129020020078)"
equal educational opportunities,"('schools', -7.7877625319391734)","('students', -7.884249575643752)","('education', -8.01536233774113)","('desegregation', -8.214857963411479)","('court', -8.330723192513386)","('black', -8.383807448091492)","('racial', -8.410224652265708)","('segregation', -8.59382513972268)","('minority', -8.648259339400045)","('district', -8.764284586953078)"
automobile insurance and liability,"('insurance', -7.580046790755408)","('auto', -8.262224188784508)","('drivers', -8.452120876095302)","('insurers', -8.612125805510122)","('premiums', -8.639501453154988)","('companies', -8.70732394838291)","('jersey', -8.73629520358978)","('rates', -8.768440012935088)","('automobile', -8.89801941527697)","('car', -8.96059190619889)"
dna (deoxyribonucleic acid),"('dna', -7.02443154584647)","('genetic', -8.22697001865923)","('evidence', -8.400569654305023)","('genes', -8.538225673913264)","('dr', -8.54136111701673)","('testing', -8.652409473301052)","('genome', -8.697816440323837)","('rape', -8.736363900533924)","('samples', -8.763815735309153)","('scientists', -8.822314545353686)"
drought,"('drought', -7.4350217327544295)","('water', -8.1376903408113)","('farmers', -8.719846278945749)","('rain', -8.724572986577858)","('reservoirs', -8.804301552792912)","('dry', -8.882367492055007)","('crop', -9.022927629938287)","('crops', -9.036625937932829)","('weather', -9.071429287091426)","('rainfall', -9.138269850506374)"
smoking and tobacco,"('tobacco', -6.412238411721076)","('smoking', -6.561386129863796)","('cigarette', -7.037098419088324)","('cigarettes', -7.077568139712319)","('smokers', -7.161791135954841)","('smoke', -7.359404240414041)","('health', -7.597984399366624)","('nicotine', -7.726750250971936)","('industry', -7.768781420698069)","('companies', -7.849060007017195)"
tax credits,"('tax', -7.457082431758474)","('income', -8.25485857145984)","('credit', -8.36068142216299)","('taxes', -8.383587930793436)","('credits', -8.593597154652885)","('billion', -8.743599409889564)","('bush', -8.829796803607811)","('congress', -8.861825731304261)","('families', -8.883341811621035)","('cuts', -8.890888089198413)"
cellular telephones,"('wireless', -6.972966786516023)","('phone', -7.050611364679294)","('phones', -7.182045880949764)","('cellular', -7.3067675137970785)","('cellphone', -7.335204878045004)","('mobile', -7.336359480091068)","('cellphones', -7.702701231359445)","('companies', -7.920754467660223)","('communications', -7.9575106802811915)","('cell', -8.023903228203046)"
