company reports,"('amex', -5.211085144866019)","('discontinued', -5.618139282572193)","('b1', -5.798886604494445)","('01', -5.82673857213189)","('02', -5.948127118431862)","('03', -6.019199039200537)","('respectively', -6.031137196260979)","('04', -6.105005230861835)","('05', -6.1054368021531875)","('06', -6.122930199970927)","('07', -6.158774913732408)","('08', -6.188779909082163)","('b2', -6.239610516468859)","('09', -6.270049997439826)","('bancorp', -6.41081352321991)","('restated', -6.433686808621377)","('credits', -6.530837683622718)","('b3', -6.623665309117045)","('pretax', -6.770951444515765)","('b4', -6.811898229367177)"
contests and prizes,"('contestants', -7.407661915085812)","('pageant', -7.417257820407422)","('finalists', -8.020759907759302)","('prizes', -8.160884587670767)","('entries', -8.368897615888175)","('contestant', -8.370948496635515)","('contests', -8.37976034883485)","('competitions', -8.475682937823347)","('westinghouse', -8.632343171608998)","('pageants', -8.816953610688318)","('scholarship', -8.91124374165098)","('semifinalists', -8.962579476956575)","('finals', -8.990035754804602)","('sweepstakes', -9.1123504170665)","('organizers', -9.192177392617134)","('entrants', -9.208302575569883)","('idol', -9.22747066059545)","('finalist', -9.233606809462177)","('crowned', -9.235780366659672)","('stuyvesant', -9.237661942235754)"
discount selling,"('discounts', -7.478357666124344)","('fares', -7.805247414454422)","('retailers', -8.085558158505993)","('mart', -8.280799295878708)","('wal', -8.355397515633129)","('shoppers', -8.372908696977495)","('travelers', -8.402372220673701)","('merchandise', -8.462779322581756)","('discounted', -8.469163682204416)","('flights', -8.492606250671969)","('discounters', -8.569809287917549)","('bargain', -8.647187498326304)","('chains', -8.66376006448523)","('continental', -8.682353113936124)","('pricing', -8.75391382350495)","('bargains', -8.772589234616504)","('retailer', -8.78456322598868)","('occupancy', -8.79161162836752)","('coupons', -8.866479446135704)","('carriers', -8.872163503528656)"
buses,"('buses', -6.0992295489750346)","('transit', -6.23972925552394)","('riders', -6.992603208516522)","('routes', -7.603384681868509)","('fares', -7.625803325946404)","('greyhound', -7.8015098705982755)","('commuter', -7.811035246454585)","('ridership', -7.822156693220859)","('commuters', -7.840213881823001)","('subways', -7.850786885528585)","('rail', -7.868552139038526)","('trains', -7.933965277989039)","('passenger', -8.09888995378329)","('metrocard', -8.262893165651603)","('terminal', -8.292070665214942)","('metro', -8.336406409717195)","('transport', -8.342841540329063)","('straphangers', -8.424248102522856)","('diesel', -8.430673677717017)","('bloomberg', -8.505016271247468)"
urban areas,"('mayors', -7.880485628823674)","('suburbs', -7.995131932219305)","('census', -8.397463017632202)","('developers', -8.779371720014453)","('planners', -8.827620710553573)","('grants', -8.841594623426431)","('zones', -8.87934840650007)","('sprawl', -8.900435217773744)","('counties', -8.919121708882688)","('enterprise', -8.925898576318563)","('transit', -8.953043942709659)","('pollution', -9.013639102235196)","('whites', -9.080932870410779)","('riots', -9.088222690893286)","('populations', -9.11076565391888)","('affordable', -9.13211368928063)","('density', -9.13695443674155)","('poorest', -9.16128202852466)","('bloomberg', -9.205243962193562)","('civic', -9.21481568720358)"
taxicabs and taxicab drivers,"('taxi', -6.270453283824951)","('cab', -6.454334164981752)","('cabs', -6.861385193013483)","('livery', -7.189484897079957)","('limousine', -7.279900412335389)","('taxis', -7.358369908585913)","('cabbies', -7.603363026615543)","('medallion', -7.701132689585336)","('taxicab', -7.799181011298003)","('cabdrivers', -7.806528056020786)","('passenger', -7.9721273450434555)","('cabdriver', -7.980603389578918)","('fares', -8.000261174345123)","('medallions', -8.055216081887613)","('cabby', -8.354919439606148)","('robbery', -8.393906914801319)","('fleet', -8.453880378631467)","('taxicabs', -8.557891192318184)","('riders', -8.563366762607357)","('gypsy', -8.749370899224083)"
bakeries and baked products,"('bakery', -7.220615025727515)","('cookies', -7.594099973040598)","('pizza', -7.6472471057795595)","('baking', -7.679915307414133)","('cake', -7.704089138698676)","('chocolate', -7.707950375411164)","('dough', -7.801741542345592)","('cakes', -7.922307982778014)","('flour', -7.9459054996572025)","('oven', -7.96489216997875)","('baked', -7.991334541377522)","('pastry', -8.072175960089673)","('butter', -8.0733971170677)","('cookie', -8.101962365040478)","('bake', -8.137463519946104)","('pie', -8.21116672800318)","('recipe', -8.291961465602286)","('pies', -8.303235069732)","('crust', -8.359667316042852)","('bakeries', -8.363287446255914)"
death and dying,"('assisted', -7.214557896532459)","('kevorkian', -7.333661325872592)","('schiavo', -7.408169276611614)","('terminally', -7.4385516031223435)","('euthanasia', -7.6707291200174605)","('tube', -7.817860546468189)","('physician', -7.8386146227703275)","('feeding', -7.867523943865521)","('hospice', -8.01142164788489)","('wishes', -8.02728398450762)","('physicians', -8.054919051662308)","('terri', -8.05559854653118)","('oregon', -8.245546977977943)","('cruzan', -8.254728688626859)","('vegetative', -8.282937385096627)","('nursing', -8.425709437028903)","('dignity', -8.43349937665827)","('suicides', -8.454616735368694)","('lethal', -8.473610275195256)","('terminal', -8.511881714482506)"
shoes and boots,"('shoe', -6.848706690694688)","('nike', -7.3523402647835825)","('footwear', -7.464555052699227)","('boots', -7.9674774283340195)","('sneakers', -8.073559835496983)","('reebok', -8.102386436221181)","('leather', -8.102653480411389)","('heel', -8.214469411175681)","('heels', -8.315967481839397)","('sneaker', -8.436588722588194)","('soles', -8.48670358951238)","('sandals', -8.534327339536096)","('pairs', -8.548166157301742)","('boot', -8.571684494028599)","('suede', -8.649721017375104)","('toe', -8.736750774130819)","('apparel', -8.761523857640466)","('toes', -8.77481096572329)","('adidas', -8.798613690455394)","('ankle', -8.821504770948437)"
archaeology and anthropology,"('artifacts', -7.324076745374512)","('archeologists', -7.4445575093610366)","('archaeologists', -7.49826384938225)","('antiquities', -7.530060487486391)","('archeological', -7.671284332955013)","('archaeological', -7.69122511311209)","('excavations', -7.8804603913831155)","('bones', -8.020725866940632)","('archeologist', -8.03711265914367)","('archaeology', -8.041585270058714)","('greek', -8.044860758524138)","('archeology', -8.047856030196115)","('excavated', -8.053658188105732)","('archaeologist', -8.053758552727176)","('egypt', -8.065543662838307)","('anthropology', -8.069893486408613)","('scholars', -8.07856613509702)","('excavation', -8.079219326299093)","('fossils', -8.108341395195117)","('museums', -8.110471006320031)"
dairy products,"('milk', -6.581610501202442)","('dairy', -6.850069172878845)","('cows', -7.880746942718421)","('agriculture', -8.132279378155156)","('farms', -8.144628067271881)","('eggs', -8.215958068860695)","('butter', -8.244029426086064)","('cow', -8.265835445003043)","('egg', -8.340967804061044)","('dairies', -8.39899267367775)","('cheeses', -8.404815683694697)","('foods', -8.418350916117971)","('yogurt', -8.562029402240434)","('hormone', -8.642011271241504)","('gallon', -8.733427760432381)","('bovine', -8.838333024505658)","('farmland', -8.870642215558814)","('bacteria', -8.995528644071143)","('nutrition', -9.024719392648429)","('calcium', -9.02969390859455)"
cruises,"('cruise', -6.434546845110734)","('cruises', -6.825802881198219)","('ships', -7.358742252264941)","('caribbean', -7.724390163673709)","('passenger', -7.830121820867286)","('carnival', -7.93278704730984)","('aboard', -8.053028825813083)","('princess', -8.060222564583292)","('ports', -8.356643524592268)","('norwegian', -8.369069879088233)","('sailing', -8.387563512829672)","('cabin', -8.464071355486823)","('cunard', -8.496473692498363)","('seas', -8.537895433193533)","('cabins', -8.549834703988994)","('vessel', -8.564632610440825)","('sail', -8.575092134404612)","('voyage', -8.596071679035548)","('occupancy', -8.645753044593441)","('vessels', -8.671971704340006)"
mines and mining,"('mining', -6.549407597820784)","('miners', -6.842225085225671)","('coal', -7.129232523694094)","('mines', -7.185861820811371)","('miner', -8.084454812609664)","('copper', -8.114049348237806)","('tons', -8.41529184220086)","('minerals', -8.551587817702522)","('mineral', -8.630062049044614)","('ore', -8.64685584459931)","('metals', -8.728411286450253)","('lands', -8.75737344131225)","('newmont', -8.77729046556394)","('anglo', -8.79069789144028)","('nickel', -8.83354393375857)","('explosion', -8.86458994301561)","('mined', -8.897486918041269)","('environmentalists', -8.92623452634582)","('inco', -8.947549865672299)","('anglogold', -8.948327789641107)"
chess,"('chess', -6.2955748593428655)","('pawn', -6.581202075323641)","('kasparov', -6.661436211121519)","('grandmaster', -6.940167673274683)","('karpov', -7.100132992938658)","('e5', -7.286310069438676)","('d5', -7.441066120722563)","('pawns', -7.441823185831551)","('bishop', -7.480054477889525)","('ne5', -7.482133792984447)","('nf6', -7.495145196048789)","('ne4', -7.502556139589652)","('nd5', -7.538926179137914)","('e4', -7.553169007540721)","('nc6', -7.56872080197376)","('rook', -7.569125762681318)","('nc3', -7.598076035341136)","('f5', -7.652514047108383)","('f4', -7.6543527879738145)","('nd4', -7.679912931668103)"
freedom of speech and expression,"('liberties', -7.2531312884672845)","('censorship', -7.953503064110242)","('unconstitutional', -7.967178134323568)","('justices', -8.081322770819416)","('upheld', -8.223880693896525)","('flag', -8.25908895011706)","('protesters', -8.356399371802171)","('banned', -8.578596564601863)","('sued', -8.608941697549962)","('pornography', -8.646317063766737)","('dissent', -8.652569555408387)","('opinions', -8.656189243573772)","('statute', -8.656958831115826)","('privacy', -8.659200664933564)","('harassment', -8.66549952430952)","('violate', -8.684266355582817)","('violation', -8.696230395256407)","('freedoms', -8.708692125407316)","('judicial', -8.73269086978636)","('regulation', -8.74237412268133)"
speech,"('liberties', -7.267439442034991)","('censorship', -7.967521148743268)","('unconstitutional', -7.981783436458082)","('justices', -8.091293015268528)","('upheld', -8.24112522117172)","('flag', -8.269059194566173)","('protesters', -8.366369616251284)","('banned', -8.592606366868472)","('sued', -8.618911941999075)","('pornography', -8.661082681424608)","('opinions', -8.661327013622238)","('dissent', -8.6625397998575)","('privacy', -8.665021068965672)","('statute', -8.666929075564937)","('harassment', -8.675469768758633)","('violate', -8.69499416597003)","('violation', -8.702702733224104)","('freedoms', -8.718662369856428)","('judicial', -8.74266111423547)","('regulation', -8.75656116835862)"
ice skating,"('skating', -6.180425619396259)","('olympics', -7.010704372559799)","('skaters', -7.056163173990349)","('skater', -7.1292979148737565)","('medal', -7.199715043710708)","('championships', -7.293007476864037)","('skate', -7.305864167670218)","('kwan', -7.334521541150533)","('kerrigan', -7.486769080308045)","('harding', -7.515964118025672)","('rink', -7.697100143840531)","('skated', -7.702694585088328)","('triple', -7.719172079526487)","('tonya', -7.867873704118802)","('jumps', -7.933585197030416)","('boitano', -7.953374282341292)","('pairs', -8.014136780475884)","('medals', -8.136032560659892)","('lipinski', -8.186012586520384)","('medalist', -8.230780105900521)"
health insurance and managed care,"('medicare', -5.771119365838798)","('employers', -6.262787549327846)","('medicaid', -6.271025843353138)","('insurers', -6.303326291229191)","('premiums', -6.311403105430327)","('uninsured', -6.474648298291714)","('prescription', -6.75516567155149)","('physicians', -6.918501329445658)","('employer', -6.97396974692067)","('beneficiaries', -7.099449526954919)","('providers', -7.201820214073849)","('insurer', -7.331498228064402)","('physician', -7.341827125656194)","('shield', -7.342326569373717)","('premium', -7.357682740793022)","('retirees', -7.462644582163561)","('nursing', -7.5579874101685895)","('insured', -7.607377810062911)","('aetna', -7.64694617181547)","('comprehensive', -7.662717179647188)"
alcoholic beverages,"('wines', -6.2053127232627245)","('bottle', -6.873180039929999)","('liquor', -6.8768424151304774)","('grapes', -6.949570646652786)","('vineyards', -6.973858410764739)","('winery', -7.005424556230623)","('grape', -7.102799960669259)","('cabernet', -7.1060152240101315)","('chardonnay', -7.189808893204472)","('sauvignon', -7.2293527147578125)","('bottles', -7.233645190772837)","('merlot', -7.338928429298036)","('bordeaux', -7.3595470388408)","('tasting', -7.369866954037604)","('goldberg', -7.4553069400583745)","('vineyard', -7.457848044272158)","('pinot', -7.457949340637043)","('blanc', -7.476410889458763)","('wineries', -7.476810215193461)","('vines', -7.478610216525852)"
guards,"('guards', -6.946064282878865)","('inmates', -7.260894930569461)","('inmate', -7.8167429775838855)","('corrections', -8.102666305630722)","('prisoners', -8.156321894900273)","('correctional', -8.296593154104215)","('rikers', -8.311807575642177)","('prisons', -8.516414339376922)","('jails', -8.798815259570212)","('cell', -8.849081964414811)","('prisoner', -8.876001427454998)","('cells', -9.113299247680382)","('facility', -9.131584914911418)","('pizzuto', -9.14306264310301)","('robbery', -9.224121649038775)","('benevolent', -9.229079353890148)","('warden', -9.264458359591949)","('detention', -9.287105656575559)","('disturbance', -9.30115129322517)","('incidents', -9.30874514862905)"
cooperatives,"('ops', -6.8250086258279286)","('condominium', -7.429648808719897)","('cooperatives', -7.489026400698903)","('tenants', -7.511668852836966)","('condominiums', -7.573463846607672)","('tenant', -7.646505784682807)","('cooperative', -7.668774940041194)","('mortgage', -7.798201320929088)","('shareholder', -7.84333574976314)","('lease', -7.8605907989381345)","('condo', -7.906068155072866)","('rental', -7.951220806882242)","('sponsor', -8.038396076407523)","('conversion', -8.048402864119202)","('brokers', -8.23021698798703)","('landlord', -8.254171307880977)","('proprietary', -8.27329509624866)","('bedrooms', -8.390926645924136)","('saft', -8.41358521387468)","('sponsors', -8.434322598312814)"
recalls and bans of products,"('firestone', -7.987120399928758)","('tires', -8.11977069267801)","('tire', -8.439787999374916)","('bridgestone', -8.447272509629663)","('recalling', -8.47315682801723)","('defective', -8.647825064354299)","('recalls', -8.67591170110212)","('regulators', -8.6839491444351)","('vioxx', -8.828816624103803)","('motors', -8.842998737233504)","('defect', -8.856150679262644)","('contaminated', -8.866831850451117)","('explorers', -8.918284497799329)","('explorer', -8.919673080162383)","('contamination', -8.937356562071432)","('defects', -8.951663415021548)","('foods', -8.994519345221136)","('agriculture', -9.003687171752526)","('accidents', -9.023175593885362)","('hazard', -9.041346277915356)"
birth control and family planning,"('condoms', -6.691214285102737)","('abortion', -7.044388762694812)","('condom', -7.142212234345335)","('contraception', -7.187468010509641)","('contraceptive', -7.326874645263137)","('pregnancy', -7.36820971891932)","('contraceptives', -7.456903807851931)","('abortions', -7.591351841803174)","('pill', -7.702655303813637)","('abstinence', -7.815651096529351)","('sexually', -7.867018836921989)","('reproductive', -7.872956865330342)","('pregnancies', -7.896537592124599)","('pills', -7.937356574124225)","('parenthood', -8.01985776376366)","('transmitted', -8.175452418273307)","('clinics', -8.186969140005111)","('pregnant', -8.18767166644178)","('prevention', -8.229331634906025)","('diseases', -8.294030999516087)"
bicycles and bicycling,"('bicycle', -6.448145956695248)","('bike', -6.48586697003154)","('cycling', -6.562140113293057)","('riders', -6.813135559859183)","('armstrong', -7.0134304493269966)","('cyclists', -7.023283579549251)","('bikes', -7.181118188814)","('bicycles', -7.369516523800087)","('rider', -7.372783327256777)","('lemond', -7.565511959503645)","('lance', -7.628811809477393)","('cyclist', -7.65755849370222)","('bicyclists', -7.682320139705749)","('rides', -7.941059139169914)","('rode', -8.005827504664175)","('bicycling', -8.012213793800683)","('ullrich', -8.101002832054267)","('kilometers', -8.102941860295083)","('pack', -8.159532570406725)","('indurain', -8.17399371206977)"
livestock,"('cattle', -6.86805310871129)","('cow', -7.166003809610557)","('beef', -7.496417630493063)","('cows', -7.5436975968045274)","('livestock', -7.549385984787902)","('agriculture', -7.579581411326032)","('mad', -7.715816244004142)","('ranchers', -7.945199776215777)","('sheep', -8.030961849767927)","('feed', -8.125419871625471)","('farms', -8.130140537438992)","('pigs', -8.1962000277944)","('futures', -8.229670282726213)","('infected', -8.308955117677762)","('slaughter', -8.345923118307226)","('dairy', -8.356327592194248)","('herd', -8.401354296147355)","('pork', -8.417441279589413)","('grazing', -8.441350076792395)","('bovine', -8.511512812099587)"
babies,"('babies', -6.7761009914837915)","('infant', -7.0697470037109955)","('infants', -7.1667822189205665)","('mothers', -7.524690512894609)","('newborn', -7.725141348964009)","('newborns', -7.855312093060963)","('pregnant', -8.027300590801595)","('pregnancy', -8.124156363162632)","('premature', -8.338807138075216)","('births', -8.408154138007394)","('diapers', -8.444843195411348)","('prenatal', -8.474662368543033)","('diaper', -8.497567498424226)","('pediatrics', -8.522679057936841)","('formula', -8.56472656759591)","('breast', -8.573994085318585)","('feeding', -8.628047346917036)","('virus', -8.740045944181329)","('syndrome', -8.749338842574053)","('neonatal', -8.785602020651593)"
military bases and installations,"('guantánamo', -7.299842036269814)","('naval', -7.548268901459166)","('detainees', -7.7011601651052946)","('afghanistan', -7.741438674124559)","('installations', -7.808087196771535)","('prisoners', -7.85490878802106)","('closings', -8.02645530836773)","('cuba', -8.04815618677373)","('rumsfeld', -8.152038970328425)","('saudi', -8.170921758286429)","('qaeda', -8.29656866384656)","('taliban', -8.334067632449193)","('detention', -8.350816165249945)","('sergeant', -8.35893400933414)","('philippines', -8.41370400712261)","('arabia', -8.42792134465764)","('okinawa', -8.478895849437235)","('subic', -8.492979661041751)","('soldier', -8.51507383832819)","('colonel', -8.57493285295949)"
beer,"('brewing', -7.3571314531828165)","('brewery', -7.684010956135625)","('beers', -7.734543483375592)","('anheuser', -7.7426927729769695)","('busch', -7.852476790106188)","('coors', -7.854959327413997)","('brewer', -8.0862629046629)","('breweries', -8.119171748738818)","('brands', -8.201490505801363)","('brewers', -8.259981165172906)","('budweiser', -8.37608651685528)","('brew', -8.387567420363236)","('ale', -8.478308223704504)","('drinkers', -8.528828911820984)","('heineken', -8.57006255525609)","('lite', -8.632564432618377)","('beverage', -8.645993750414497)","('molson', -8.66225388649253)","('brewed', -8.705016172983976)","('liquor', -8.773547340290774)"
consumer behavior,"('retailers', -7.966604081626091)","('consumption', -8.050325158877277)","('purchases', -8.174280469157019)","('slowdown', -8.273627947624746)","('tenths', -8.278211770834847)","('mortgage', -8.306239700783681)","('shoppers', -8.317156825825496)","('households', -8.321272886275839)","('incomes', -8.387464973727136)","('borrowing', -8.387853657122001)","('adjusted', -8.442189526243698)","('exports', -8.532821429936284)","('wages', -8.568825965730959)","('seasonally', -8.605859437489709)","('mortgages', -8.659971306155002)","('mart', -8.672634235558961)","('wal', -8.677828153952609)","('gasoline', -8.70954155304511)","('brands', -8.715897283523844)","('trillion', -8.757335789166177)"
jury system,"('jurors', -6.4132556308998865)","('juror', -7.068218200641161)","('juries', -7.611314757333432)","('defendant', -7.77118209543635)","('verdict', -7.771393947621323)","('defendants', -7.944322427231533)","('courtroom', -8.030298368368234)","('deliberations', -8.084300068813473)","('trials', -8.233855595527285)","('prospective', -8.273258104825414)","('mistrial', -8.458092812414396)","('peremptory', -8.468670385046455)","('courthouse', -8.5816108576684)","('verdicts', -8.726887639377036)","('excused', -8.752894656556416)","('testified', -8.754234559320306)","('simpson', -8.810161102464871)","('questioning', -8.883006448411994)","('deliberating', -8.919544107365937)","('acquitted', -8.945067134188255)"
casinos,"('casino', -5.721662839669767)","('casinos', -6.171213705379488)","('gambling', -6.424492039497697)","('gaming', -7.000343942091727)","('trump', -7.081463238067207)","('vegas', -7.281812150342914)","('las', -7.3201174409112975)","('tribe', -7.4407122387570315)","('slot', -7.465742350623672)","('gamblers', -7.582961546467524)","('resorts', -7.654486106008612)","('harrah', -7.8209684402119715)","('tribes', -7.824774883046523)","('boardwalk', -7.881724632864671)","('taj', -7.915610056042534)","('mirage', -7.958268540984399)","('mahal', -7.973002734717564)","('bally', -8.058326604114189)","('tribal', -8.058612848095702)","('foxwoods', -8.060892461742908)"
child care,"('mothers', -7.5459591380225515)","('nanny', -7.784937931666727)","('sitter', -8.009931160105372)","('nannies', -8.027085471831747)","('providers', -8.282303789486072)","('employers', -8.367038124604637)","('sitters', -8.40520499552757)","('preschool', -8.447036741509296)","('au', -8.569749096787088)","('infants', -8.637326107849287)","('infant', -8.656525514379059)","('employer', -8.747880134332744)","('recipients', -8.82899923970954)","('licensed', -8.83870191095885)","('babies', -8.840359120934448)","('caring', -8.875355704971962)","('subsidies', -8.92645949497748)","('fathers', -8.92924878906893)","('subsidized', -8.970154011869917)","('toddlers', -9.02212208362845)"
referendums,"('referendum', -6.073290727851355)","('ballot', -6.490195311759469)","('proposition', -7.44592167861461)","('charter', -7.721170903558172)","('voter', -7.763100139287463)","('signatures', -7.804627142938786)","('referendums', -7.9711218425915)","('initiatives', -8.146395371858238)","('turnout', -8.148604558745506)","('ballots', -8.170865216288577)","('proponents', -8.193489071204954)","('statewide', -8.204572249534003)","('revision', -8.354400975160976)","('schwarzenegger', -8.35905991433809)","('petition', -8.366634569490744)","('overwhelmingly', -8.536820264275816)","('chávez', -8.54776499996785)","('oregon', -8.551836711299837)","('counties', -8.568478787293706)","('electoral', -8.590182701461524)"
soccer,"('soccer', -5.173338802809624)","('metrostars', -6.236354155287339)","('goalkeeper', -6.705652740796679)","('midfielder', -6.828131926166316)","('fifa', -6.9412418965849785)","('brazil', -7.053682461441414)","('defender', -7.174398480327227)","('matches', -7.180754489835543)","('kick', -7.193312638547903)","('striker', -7.194537260372283)","('qualifying', -7.202987257800919)","('argentina', -7.406845047850884)","('midfield', -7.484180684508606)","('kicks', -7.490657102507516)","('maradona', -7.674422331067212)","('ramos', -7.685611193410153)","('manchester', -7.699564500861749)","('meola', -7.700925868621071)","('semifinals', -7.709694875582087)","('finals', -7.763062029821976)"
book trade,"('publishers', -6.636949346910948)","('authors', -7.112559702188305)","('bookstores', -7.262944048665668)","('booksellers', -7.45859211834953)","('bookstore', -7.519248586483193)","('seller', -7.5925552647277295)","('paperback', -7.63284738256926)","('schuster', -7.672290363336622)","('publish', -7.746772064985928)","('bantam', -7.85836197456357)","('nonfiction', -7.873877584496054)","('barnes', -7.888037529011886)","('doubleday', -7.918242821802121)","('noble', -7.950916300377747)","('novels', -7.983022065843178)","('penguin', -7.999866052584869)","('hardcover', -8.057953366741213)","('amazon', -8.109812373712549)","('editors', -8.13798793775005)","('imprint', -8.138806179701554)"
birds,"('birds', -6.102722131840049)","('wildlife', -7.141938158076683)","('turkey', -7.3784952145849525)","('geese', -7.633906834431937)","('nest', -7.7501315107143025)","('endangered', -7.777060558640422)","('nesting', -7.785182003554098)","('pigeons', -7.917906156672739)","('habitat', -7.924247224366036)","('audubon', -7.927536569818532)","('nests', -8.029924294640178)","('eggs', -8.03221665548048)","('conservation', -8.032688388012227)","('ducks', -8.04444047539788)","('hunting', -8.078627657232142)","('breeding', -8.099106890845148)","('owl', -8.112927309162995)","('feathers', -8.173304441164948)","('turkish', -8.179687568812014)","('duck', -8.237224341752256)"
endangered and extinct species,"('endangered', -6.607315445152901)","('wildlife', -6.871293087423263)","('conservation', -7.295002186642319)","('habitat', -7.405477813759971)","('extinction', -7.494014737960306)","('birds', -7.5231822956277705)","('dinosaur', -7.765592108518546)","('dinosaurs', -7.782850299153759)","('extinct', -7.9428694799787)","('biologists', -7.962635391616168)","('forests', -8.09437849596426)","('populations', -8.121786840933435)","('breeding', -8.179637607554998)","('environmentalists', -8.22646327583735)","('hunting', -8.238465432674987)","('fossil', -8.249849785616668)","('conservationists', -8.263186029834412)","('habitats', -8.319777767151534)","('biologist', -8.32126060781156)","('fishing', -8.328049709424587)"
transplants,"('transplant', -6.43175900859742)","('transplants', -6.897808830552654)","('organ', -7.012650598451188)","('organs', -7.064441156945007)","('donor', -7.168802968861247)","('liver', -7.292457078801805)","('kidney', -7.644244917244381)","('donors', -7.787601498082038)","('tissue', -7.883462116629611)","('marrow', -7.959081489335875)","('transplanted', -8.008483146551068)","('transplantation', -8.022167178142025)","('cells', -8.143749075211238)","('kidneys', -8.225507703240918)","('bone', -8.274999017237773)","('donation', -8.280822025490751)","('recipient', -8.334917806470528)","('surgeons', -8.381433894027623)","('donated', -8.466260416224983)","('donate', -8.473180686586858)"
beaches,"('beaches', -6.550121346039815)","('sand', -7.189455227855996)","('boardwalk', -7.844127788103872)","('coastal', -7.964481147630243)","('lifeguards', -7.984160322333768)","('erosion', -8.047871397291471)","('swimming', -8.239805430275439)","('dunes', -8.240591272497376)","('surf', -8.255748152728177)","('shoreline', -8.288104402495662)","('sewage', -8.304090390682493)","('lifeguard', -8.304653704425373)","('washed', -8.386762880142353)","('storms', -8.410728124292357)","('beachfront', -8.477725035389751)","('cape', -8.515211658297241)","('dune', -8.51574431431229)","('beachgoers', -8.548010139125353)","('engineers', -8.557719999529327)","('waves', -8.574328636592307)"
bars,"('smoking', -7.569098133901079)","('liquor', -8.125754653542577)","('bartender', -8.160233942864025)","('patrons', -8.22041845511623)","('drinks', -8.239330408167326)","('lounge', -8.266220547049137)","('pub', -8.306152548500568)","('pubs', -8.425669284490706)","('establishments', -8.554940400450274)","('bartenders', -8.585676670155244)","('smokers', -8.621321568430819)","('cocktail', -8.643698359968132)","('tavern', -8.747980642367397)","('bloomberg', -8.812227953115602)","('cigarette', -8.986492157040342)","('cocktails', -9.031173135165176)","('vodka', -9.04612066699501)","('martini', -9.083375009844122)","('tobacco', -9.091295909674034)","('cigarettes', -9.165670799187582)"
jewels and jewelry,"('jewelry', -6.674991629023987)","('diamond', -7.794951237107162)","('diamonds', -7.9111745390429595)","('earrings', -8.047602609671127)","('bracelets', -8.140768757930912)","('necklace', -8.170663534223095)","('jewelers', -8.258682485822538)","('necklaces', -8.303868139127696)","('jewels', -8.31533941507883)","('stones', -8.358096538350026)","('rings', -8.411077238301464)","('jeweler', -8.46716719786087)","('bracelet', -8.475997462494732)","('carat', -8.564697121384008)","('pearls', -8.661838344044984)","('tiffany', -8.691560305575393)","('gems', -8.75238780940905)","('robbery', -8.787810495913222)","('gem', -8.980547976283882)","('brooches', -8.991566316992998)"
air pollution,"('emissions', -5.949310082195114)","('pollution', -6.03062009968605)","('carbon', -6.635832102778761)","('dioxide', -6.667138618135449)","('ozone', -6.768143856993384)","('warming', -6.820054415513646)","('smog', -6.962160092618877)","('gases', -7.046665138873057)","('greenhouse', -7.115203214324597)","('coal', -7.157797125617338)","('gasoline', -7.188725034975103)","('pollutants', -7.199714696584077)","('emission', -7.315674428249835)","('sulfur', -7.324144022253724)","('fuels', -7.3373684145831515)","('cleaner', -7.372700397733002)","('environmentalists', -7.4213372680885685)","('chemicals', -7.495133565584519)","('nitrogen', -7.509332365464577)","('acid', -7.620805741750293)"
"indians, american","('indians', -6.280704358736146)","('tribe', -6.431594970189659)","('tribal', -6.68851133201732)","('tribes', -6.732383828876614)","('reservation', -6.842977351666362)","('casino', -7.019655869338195)","('gambling', -7.437343824432744)","('casinos', -7.531855193425884)","('navajo', -7.628080036915371)","('lands', -8.041178627945145)","('gaming', -8.089400332928006)","('mohawk', -8.091563231328626)","('sioux', -8.096297654532995)","('pequots', -8.19369527788365)","('indigenous', -8.217154275747793)","('mohawks', -8.254831649335278)","('mashantucket', -8.273716539143923)","('artifacts', -8.355363515364365)","('pequot', -8.391193555195498)","('dakota', -8.42491876508682)"
medicaid,"('medicaid', -5.710469394076677)","('medicare', -7.073572629271317)","('nursing', -7.386354366904961)","('recipients', -7.600331444353006)","('pataki', -7.705248509395503)","('uninsured', -7.918847958812865)","('providers', -8.103150482859428)","('eligibility', -8.147837176061259)","('reimbursement', -8.157100015800683)","('prescription', -8.176655811651917)","('eligible', -8.244124195676878)","('governors', -8.293659361883195)","('beneficiaries', -8.31483137259164)","('clinics', -8.339896660102381)","('cuomo', -8.415673240443267)","('qualify', -8.526490819243493)","('premiums', -8.560152738651169)","('counties', -8.60078806221816)","('insurers', -8.61691303098466)","('enrolled', -8.630700288251528)"
"age, chronological","('boomers', -8.205744040241978)","('discrimination', -8.252902108227007)","('longevity', -8.489152952745922)","('olds', -8.497238316840399)","('retire', -8.675274031334999)","('expectancy', -8.675410640046831)","('diet', -8.794910939205936)","('youngest', -8.805965429422878)","('mortality', -8.812772943175164)","('employers', -8.833572857287884)","('retirees', -8.982186851769821)","('cells', -8.987999292460147)","('span', -9.000158134382144)","('mature', -9.046253685979707)","('smoking', -9.058939244648283)","('demographic', -9.060256626705698)","('diseases', -9.069690563797337)","('medicare', -9.071143571531866)","('advertisers', -9.07829163964429)","('genes', -9.083079331929252)"
